DecimalYear,WaveHeight
2019.1013,0.718068231
2019.1013,0.718068231
2019.1013,0.718068231
2019.104038,1.036565813
2019.104038,1.036565813
2019.104038,1.036565813
2019.106776,1.387184954
2019.106776,1.387184954
2019.106776,1.387184954
2019.112252,0.899500242
2019.112252,0.899500242
2019.112252,0.899500242
2019.11499,0.792327784
2019.11499,0.792327784
2019.11499,0.792327784
2019.117728,2.507632519
2019.117728,2.507632519
2019.117728,2.507632519
2019.120465,2.124575896
2019.120465,2.124575896
2019.120465,2.124575896
2019.123203,2.054964921
2019.123203,2.054964921
2019.123203,2.054964921
2019.128679,1.288603125
2019.128679,1.288603125
2019.128679,1.288603125
2019.131417,0.881479076
2019.131417,0.881479076
2019.131417,0.881479076
2019.134155,0.675599941
2019.134155,0.675599941
2019.134155,0.675599941
2019.136893,0.688978476
2019.136893,0.688978476
2019.136893,0.688978476
2019.13963,0.794989637
2019.13963,0.794989637
2019.13963,0.794989637
2019.142368,0.56738613
2019.142368,0.56738613
2019.142368,0.56738613
2019.147844,0.48160136
2019.147844,0.48160136
2019.147844,0.48160136
2019.150582,0.57497675
2019.150582,0.57497675
2019.150582,0.57497675
2019.15332,1.675723248
2019.15332,1.675723248
2019.15332,1.675723248
2019.156057,1.391226208
2019.156057,1.391226208
2019.156057,1.391226208
2019.158795,0.877035953
2019.158795,0.877035953
2019.158795,0.877035953
2019.161533,0.960728605
2019.161533,0.960728605
2019.161533,0.960728605
2019.167009,1.418316567
2019.167009,1.418316567
2019.167009,1.418316567
2019.169747,1.04683118
2019.169747,1.04683118
2019.169747,1.04683118
2019.172485,1.392732434
2019.172485,1.392732434
2019.172485,1.392732434
2019.175222,1.80144305
2019.175222,1.80144305
2019.175222,1.80144305
2019.17796,0.911361444
2019.17796,0.911361444
2019.17796,0.911361444
2019.180698,0.643965249
2019.180698,0.643965249
2019.180698,0.643965249
2019.186174,1.37904474
2019.186174,1.37904474
2019.186174,1.37904474
2019.188912,0.915704846
2019.188912,0.915704846
2019.188912,0.915704846
2019.19165,0.968955203
2019.19165,0.968955203
2019.19165,0.968955203
2019.194387,0.837221533
2019.194387,0.837221533
2019.194387,0.837221533
2019.197125,0.643433455
2019.197125,0.643433455
2019.197125,0.643433455
2019.202601,0.606933769
2019.202601,0.606933769
2019.202601,0.606933769
2019.205339,0.643782545
2019.205339,0.643782545
2019.205339,0.643782545
2019.208077,0.839106283
2019.208077,0.839106283
